entityLabel	propLabel	valueLabel	entity	prop	value
Higgs boson	OpenAlex ID	C158129726	Q402	P10283	C158129726
Higgs boson	ScienceDirect topic ID	physics-and-astronomy/higgs-bosons	Q402	P10376	physics-and-astronomy/higgs-bosons
Higgs boson	Encyclopedia of China (Third Edition) ID	143990	Q402	P10565	143990
Higgs boson	Gran Enciclopèdia Catalana ID	boso-de-higgs	Q402	P12385	boso-de-higgs
Higgs boson	Vikidia article ID	fr:Boson_de_Higgs	Q402	P12800	fr:Boson_de_Higgs
Higgs boson	Yale LUX ID	concept/d01329d0-7641-403a-9aa7-cecf74edf02e	Q402	P13591	concept/d01329d0-7641-403a-9aa7-cecf74edf02e
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details-ru.svg	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details-ru.svg
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details.svg	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details.svg
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details%20af.jpg	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details%20af.jpg
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details%20in%20bengali%20version..png	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20details%20in%20bengali%20version..png
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20zoom2.tif	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20zoom2.tif
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Cierna%20diera-az.png	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Cierna%20diera-az.png
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Cierna%20diera.png	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Cierna%20diera.png
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Gergin%20ufuk.svg	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Gergin%20ufuk.svg
black hole	schematic	http://commons.wikimedia.org/wiki/Special:FilePath/Penrose%20Diagrams%20of%20various%20black%20hole%20solutions.svg	Q589	P5555	http://commons.wikimedia.org/wiki/Special:FilePath/Penrose%20Diagrams%20of%20various%20black%20hole%20solutions.svg
black hole	Larousse ID	animations/Trous_noirs/1100498	Q589	P6058	animations/Trous_noirs/1100498
black hole	Larousse ID	divers/trou_noir/99640	Q589	P6058	divers/trou_noir/99640
black hole	BBC News topic ID	c6lygzy5lzpt	Q589	P6200	c6lygzy5lzpt
black hole	Fandom article ID	intensities-universe:Black_hole	Q589	P6262	intensities-universe:Black_hole
black hole	Fandom article ID	kurzgesagt:Black_hole	Q589	P6262	kurzgesagt:Black_hole
black hole	Fandom article ID	space:Black_hole	Q589	P6262	space:Black_hole
black hole	Microsoft Academic ID (discontinued)	98851261	Q589	P6366	98851261
black hole	Krugosvet article (archived)	nauka_i_tehnika/astronomiya/CHERNAYA_DIRA.html	Q589	P6385	nauka_i_tehnika/astronomiya/CHERNAYA_DIRA.html
black hole	Brilliant Wiki ID	black-hole	Q589	P6564	black-hole
black hole	Klexikon article ID	Schwarzes_Loch	Q589	P6573	Schwarzes_Loch
black hole	TV Tropes ID	UsefulNotes/BlackHoles	Q589	P6839	UsefulNotes/BlackHoles
black hole	NicoNicoPedia ID	ブラックホール	Q589	P6900	ブラックホール
black hole	Australian Educational Vocabulary ID	scot/1897	Q589	P7033	scot/1897
black hole	Online PWN Encyclopedia ID	3889102	Q589	P7305	3889102
black hole	RationalWiki ID	Black_hole	Q589	P7775	Black_hole
black hole	RationalWiki ID	ru:Чёрная_дыра	Q589	P7775	ru:Чёрная_дыра
black hole	National Library of Israel J9U ID	987007283120105171	Q589	P8189	987007283120105171
black hole	Lex ID	sort_hul	Q589	P8313	sort_hul
black hole	KBpedia ID	BlackHole	Q589	P8408	BlackHole
black hole	Namuwiki ID	블랙홀	Q589	P8885	블랙홀
black hole	ABC News topic ID	blackholes	Q589	P9084	blackholes
black hole	France 24 topic ID (French)	trou-noir	Q589	P9346	trou-noir
black hole	Scholarpedia article ID	Black_holes	Q589	P9526	Black_holes
black hole	Der Spiegel topic ID	schwarze_loecher	Q589	P10234	schwarze_loecher
black hole	ScienceDirect topic ID	physics-and-astronomy/black-holes	Q589	P10376	physics-and-astronomy/black-holes
black hole	Encyclopedia of China (Third Edition) ID	226972	Q589	P10565	226972
black hole	Encyclopedia of China (Third Edition) ID	146897	Q589	P10565	146897
black hole	Encyclopedia of Ideas ID	blackhole	Q589	P10717	blackhole
black hole	Pixiv Encyclopedia ID	ブラックホール	Q589	P11408	ブラックホール
black hole	Great Russian Encyclopedia portal ID	chiornye-dyry-c7f8e1	Q589	P11514	chiornye-dyry-c7f8e1
black hole	IMDb keyword	black-hole	Q589	P11924	black-hole
black hole	WikiKids ID	Zwart_gat	Q589	P12086	Zwart_gat
black hole	Gran Enciclopèdia Catalana ID	forat-negre	Q589	P12385	forat-negre
black hole	museum-digital tag ID	18309	Q589	P12596	18309
black hole	Lille norske leksikon ID	svart_hull	Q589	P12721	svart_hull
black hole	Vikidia article ID	ca:Forat_negre	Q589	P12800	ca:Forat_negre
black hole	Vikidia article ID	en:Black_hole	Q589	P12800	en:Black_hole
black hole	Vikidia article ID	es:Agujero_negro	Q589	P12800	es:Agujero_negro
black hole	Vikidia article ID	eu:Zulo_trou_noir	Q589	P12800	eu:Zulo_trou_noir
black hole	Vikidia article ID	fr:Trou_noir	Q589	P12800	fr:Trou_noir
black hole	Vikidia article ID	it:Buco_nero	Q589	P12800	it:Buco_nero
black hole	Lexikon der Mathematik entry ID	8880	Q589	P12975	8880
black hole	LEMAC ID	LEMAC201203976	Q589	P13346	LEMAC201203976
black hole	Yale LUX ID	concept/724d7e24-76b5-45ff-970d-0a884a84db5d	Q589	P13591	concept/724d7e24-76b5-45ff-970d-0a884a84db5d
black hole	Arab Encyclopedia concept ID	5396	Q589	P13750	5396
black hole	video	http://commons.wikimedia.org/wiki/Special:FilePath/NASA%20Black%20Hole%20Visualization%20Takes%20Viewers%20Beyond%20the%20Brink%20%28SVS14576%20BH%20Plunge%20Mollweide%208192x4096%2060%29.webm	Q589	P10	http://commons.wikimedia.org/wiki/Special:FilePath/NASA%20Black%20Hole%20Visualization%20Takes%20Viewers%20Beyond%20the%20Brink%20%28SVS14576%20BH%20Plunge%20Mollweide%208192x4096%2060%29.webm
black hole	image	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20-%20Messier%2087%20crop%20max%20res.jpg	Q589	P18	http://commons.wikimedia.org/wiki/Special:FilePath/Black%20hole%20-%20Messier%2087%20crop%20max%20res.jpg
black hole	instance of	astronomical object type	Q589	P31	http://www.wikidata.org/entity/Q17444909
black hole	GND ID	4053793-6	Q589	P227	4053793-6
black hole	Library of Congress authority ID	sh85014574	Q589	P244	sh85014574
black hole	Bibliothèque nationale de France ID	11933630s	Q589	P268	11933630s
black hole	IdRef ID	027253430	Q589	P269	027253430
black hole	subclass of	compact object	Q589	P279	http://www.wikidata.org/entity/Q368442
black hole	subclass of	massive compact halo object	Q589	P279	http://www.wikidata.org/entity/Q1457669
black hole	NDL Authority ID	00561056	Q589	P349	00561056
black hole	Commons category	Black holes	Q589	P373	Black holes
black hole	opposite of	white hole	Q589	P461	http://www.wikidata.org/entity/Q131468
black hole	BNCF Thesaurus ID	17881	Q589	P508	17881
black hole	has part(s)	event horizon	Q589	P527	http://www.wikidata.org/entity/Q181741
black hole	has part(s)	gravitational singularity	Q589	P527	http://www.wikidata.org/entity/Q201721
black hole	has part(s)	ergosphere	Q589	P527	http://www.wikidata.org/entity/Q656650
black hole	has part(s)	photon sphere	Q589	P527	http://www.wikidata.org/entity/Q2361910
black hole	has part(s)	Cauchy horizon	Q589	P527	http://www.wikidata.org/entity/Q2470767
black hole	has part(s)	firewall	Q589	P527	http://www.wikidata.org/entity/Q5452017
black hole	has part(s)	innermost stable circular orbit	Q589	P527	http://www.wikidata.org/entity/Q25110047
black hole	has part(s)	Shock singularity	Q589	P527	http://www.wikidata.org/entity/Q134574466
black hole	has part(s)	Soft hair	Q589	P527	http://www.wikidata.org/entity/Q135299894
black hole	has part(s)	mass inflation	Q589	P527	http://www.wikidata.org/entity/Q135920232
black hole	Freebase ID	/m/01h1s	Q589	P646	/m/01h1s
black hole	NL CR AUT ID	ph128097	Q589	P691	ph128097
black hole	topic's main category	Category:Black holes	Q589	P910	http://www.wikidata.org/entity/Q7163702
black hole	Commons gallery	Black hole	Q589	P935	Black hole
black hole	National Library of Spain SpMaBN ID (BNE v1.0)	XX528239	Q589	P950	XX528239
black hole	spoken text audio	http://commons.wikimedia.org/wiki/Special:FilePath/Hy-%D5%8D%D6%87%20%D5%AD%D5%B8%D5%BC%D5%B8%D5%B9%20%28Black%20hole%29.ogg	Q589	P989	http://commons.wikimedia.org/wiki/Special:FilePath/Hy-%D5%8D%D6%87%20%D5%AD%D5%B8%D5%BC%D5%B8%D5%B9%20%28Black%20hole%29.ogg
black hole	spoken text audio	http://commons.wikimedia.org/wiki/Special:FilePath/Nl-Zwart%20gat-article.ogg	Q589	P989	http://commons.wikimedia.org/wiki/Special:FilePath/Nl-Zwart%20gat-article.ogg
black hole	Curlie ID	Science/Physics/Relativity/Black_Holes/	Q589	P998	Science/Physics/Relativity/Black_Holes/
black hole	Dewey Decimal Classification	523.8875	Q589	P1036	523.8875
black hole	PSH ID	529	Q589	P1051	529
black hole	Library of Congress Classification	QB843.B55	Q589	P1149	QB843.B55
black hole	OmegaWiki Defined Meaning	8329	Q589	P1245	8329
black hole	Gran Enciclopèdia Catalana ID (former scheme)	0184491	Q589	P1296	0184491
black hole	Encyclopædia Britannica Online ID	topic/black-hole	Q589	P1417	topic/black-hole
black hole	topic has template	Template:Black holes	Q589	P1424	http://www.wikidata.org/entity/Q6720830
black hole	Stack Exchange tag	https://physics.stackexchange.com/tags/black-holes	Q589	P1482	https://physics.stackexchange.com/tags/black-holes
black hole	Stack Exchange tag	https://astronomy.stackexchange.com/tags/black-hole	Q589	P1482	https://astronomy.stackexchange.com/tags/black-hole
black hole	end cause	Hawking radiation	Q589	P1534	http://www.wikidata.org/entity/Q497396
black hole	has effect	Hawking radiation	Q589	P1542	http://www.wikidata.org/entity/Q497396
black hole	has characteristic	electric charge	Q589	P1552	http://www.wikidata.org/entity/Q1111
black hole	has characteristic	mass	Q589	P1552	http://www.wikidata.org/entity/Q11423
black hole	has characteristic	angular momentum	Q589	P1552	http://www.wikidata.org/entity/Q161254
black hole	BBC Things ID	1889ae0b-2030-477b-b953-f2924616d6da	Q589	P1617	1889ae0b-2030-477b-b953-f2924616d6da
black hole	short name	BN	Q589	P1813	BN
black hole	short name	BH	Q589	P1813	BH
black hole	short name	SL	Q589	P1813	SL
black hole	short name	TN	Q589	P1813	TN
black hole	short name	ЧД	Q589	P1813	ЧД
black hole	short name	ČL	Q589	P1813	ČL
black hole	different from	black dwarf	Q589	P1889	http://www.wikidata.org/entity/Q5976
black hole	different from	white hole	Q589	P1889	http://www.wikidata.org/entity/Q131468
black hole	different from	black star	Q589	P1889	http://www.wikidata.org/entity/Q9298968
black hole	FAST ID	1744720	Q589	P2163	1744720
black hole	YSO ID	18360	Q589	P2347	18360
black hole	studied by	theoretical physics	Q589	P2579	http://www.wikidata.org/entity/Q18362
black hole	studied by	astrophysics	Q589	P2579	http://www.wikidata.org/entity/Q37547
black hole	Encyclopædia Universalis ID	trous-noirs	Q589	P3219	trous-noirs
black hole	NE.se ID	svart-hål	Q589	P3222	svart-hål
black hole	Mathematics Subject Classification ID	83C57	Q589	P3285	83C57
black hole	Quora topic ID	Black-Holes	Q589	P3417	Black-Holes
black hole	Zhihu topic ID	19564226	Q589	P3553	19564226
black hole	Cultureel Woordenboek ID	natuurkunde-scheikunde-en-sterrenkunde/zwart-gat	Q589	P3569	natuurkunde-scheikunde-en-sterrenkunde/zwart-gat
black hole	UNESCO Thesaurus ID	concept1894	Q589	P3916	concept1894
black hole	nLab ID	black hole	Q589	P4215	black hole
black hole	Great Norwegian Encyclopedia ID	svart_hull	Q589	P4342	svart_hull
black hole	Unified Astronomy Thesaurus ID	162	Q589	P4466	162
black hole	on focus list of Wikimedia project	Wikipedia:List of articles all languages should have	Q589	P5008	http://www.wikidata.org/entity/Q5460604
black hole	on focus list of Wikimedia project	Wikipedia:Vital articles/Level/4	Q589	P5008	http://www.wikidata.org/entity/Q6173448
black hole	Brockhaus Enzyklopädie online ID	schwarzes-loch-astrophysik	Q589	P5019	schwarzes-loch-astrophysik
black hole	World of Physics ID	BlackHole	Q589	P5064	BlackHole
black hole	Encyclopedia of Science Fiction ID	black_holes	Q589	P5357	black_holes
black hole	Canadian Encyclopedia article ID	black-hole	Q589	P5395	black-hole
photon	video	http://commons.wikimedia.org/wiki/Special:FilePath/Electromagneticwave3D.gif	Q3198	P10	http://commons.wikimedia.org/wiki/Special:FilePath/Electromagneticwave3D.gif
photon	image	http://commons.wikimedia.org/wiki/Special:FilePath/Light%20Amplification%20by%20Stimulated%20Emission%20of%20Radiation.jpg	Q3198	P18	http://commons.wikimedia.org/wiki/Special:FilePath/Light%20Amplification%20by%20Stimulated%20Emission%20of%20Radiation.jpg
photon	instance of	type of quantum particle	Q3198	P31	http://www.wikidata.org/entity/Q22675015
photon	GND ID	4045922-6	Q3198	P227	4045922-6
photon	Library of Congress authority ID	sh85101398	Q3198	P244	sh85101398
photon	Bibliothèque nationale de France ID	11979547h	Q3198	P268	11979547h
photon	IdRef ID	027840611	Q3198	P269	027840611
photon	subclass of	force carrier	Q3198	P279	http://www.wikidata.org/entity/Q24364
photon	subclass of	elementary particle	Q3198	P279	http://www.wikidata.org/entity/Q43116
photon	subclass of	quantum	Q3198	P279	http://www.wikidata.org/entity/Q46344
photon	subclass of	gauge boson	Q3198	P279	http://www.wikidata.org/entity/Q105580
photon	subclass of	massless quantum particle	Q3198	P279	http://www.wikidata.org/entity/Q2024141
photon	subclass of	real neutral particle	Q3198	P279	http://www.wikidata.org/entity/Q4204340
photon	subclass of	Q15809444	Q3198	P279	http://www.wikidata.org/entity/Q15809444
photon	subclass of	stable elementary particle	Q3198	P279	http://www.wikidata.org/entity/Q21660975
photon	NDL Authority ID	00566716	Q3198	P349	00566716
photon	part of	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity	Q3198	P361	http://www.wikidata.org/entity/Q3901694
photon	part of	response to light stimulus	Q3198	P361	http://www.wikidata.org/entity/Q14859558
photon	part of	oxygen evolving activity	Q3198	P361	http://www.wikidata.org/entity/Q22316027
photon	part of	Renilla-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316927
photon	part of	Watasenia-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316934
photon	part of	Cypridina-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316949
photon	part of	Oplophorus-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316953
photon	part of	Latia-luciferin monooxygenase (demethylating) activity	Q3198	P361	http://www.wikidata.org/entity/Q22317043
photon	part of	alkanal monooxygenase (FMN-linked) activity	Q3198	P361	http://www.wikidata.org/entity/Q22317834
photon	Commons category	Photon	Q3198	P373	Photon
photon	MeSH descriptor ID	D017785	Q3198	P486	D017785
photon	BNCF Thesaurus ID	19366	Q3198	P508	19366
photon	interaction	gravity	Q3198	P517	http://www.wikidata.org/entity/Q11412
photon	interaction	electromagnetic field	Q3198	P517	http://www.wikidata.org/entity/Q177625
photon	interaction	electromagnetic interaction	Q3198	P517	http://www.wikidata.org/entity/Q849919
photon	time of discovery or invention	1923-01-01T00:00:00Z	Q3198	P575	1923-01-01T00:00:00Z
photon	Freebase ID	/m/05v_l	Q3198	P646	/m/05v_l
photon	MeSH tree code	G01.249.705	Q3198	P672	G01.249.705
photon	MeSH tree code	G01.358.500.505.650.782	Q3198	P672	G01.358.500.505.650.782
photon	MeSH tree code	G01.590.540.782	Q3198	P672	G01.590.540.782
photon	MeSH tree code	G01.750.250.650.782	Q3198	P672	G01.750.250.650.782
photon	MeSH tree code	G01.750.770.578.782	Q3198	P672	G01.750.770.578.782
photon	ChEBI ID	30212	Q3198	P683	30212
photon	NL CR AUT ID	ph137951	Q3198	P691	ph137951
photon	topic's main category	Category:Photons	Q3198	P910	http://www.wikidata.org/entity/Q8762041
photon	notation	Γ	Q3198	P913	http://www.wikidata.org/entity/Q14387
photon	notation	hν	Q3198	P913	http://www.wikidata.org/entity/Q122443655
photon	Dewey Decimal Classification	535.12	Q3198	P1036	535.12
photon	Dewey Decimal Classification	539.7217	Q3198	P1036	539.7217
photon	PSH ID	3520	Q3198	P1051	3520
photon	spin quantum number	1	Q3198	P1122	1
photon	parity quantum number	-1	Q3198	P1123	-1
photon	OmegaWiki Defined Meaning	8299	Q3198	P1245	8299
photon	described by source	Great Soviet Encyclopedia (1926–1947)	Q3198	P1343	http://www.wikidata.org/entity/Q20078554
photon	Monte Carlo Particle Number	22	Q3198	P1360	22
photon	Encyclopædia Britannica Online ID	science/photon	Q3198	P1417	science/photon
photon	Stack Exchange tag	https://physics.stackexchange.com/tags/photons	Q3198	P1482	https://physics.stackexchange.com/tags/photons
photon	has effect	Compton effect	Q3198	P1542	http://www.wikidata.org/entity/Q171516
photon	has effect	Q56312436	Q3198	P1542	http://www.wikidata.org/entity/Q56312436
photon	has characteristic	wave–particle duality	Q3198	P1552	http://www.wikidata.org/entity/Q193068
photon	BBC Things ID	265c8741-78d9-4e31-a846-30434ac11a5c	Q3198	P1617	265c8741-78d9-4e31-a846-30434ac11a5c
photon	different from	Photon	Q3198	P1889	http://www.wikidata.org/entity/Q440021
photon	different from	Foton	Q3198	P1889	http://www.wikidata.org/entity/Q3079748
photon	different from	Fotão	Q3198	P1889	http://www.wikidata.org/entity/Q124032567
photon	mass	0	Q3198	P2067	0
photon	mass	0.000000000000000000001	Q3198	P2067	0.000000000000000000001
photon	half-life	1	Q3198	P2114	1
photon	antiparticle	photon	Q3198	P2152	http://www.wikidata.org/entity/Q3198
photon	electric charge	0	Q3198	P2200	0
photon	YSO ID	2063	Q3198	P2347	2063
photon	has superpartner	photino	Q3198	P2375	http://www.wikidata.org/entity/Q1031134
photon	mean lifetime	1	Q3198	P2645	1
photon	UMLS CUI	C0086805	Q3198	P2892	C0086805
photon	Treccani ID	fotone	Q3198	P3365	fotone
photon	WikiSkripta article ID	58681	Q3198	P3471	58681
photon	Zhihu topic ID	19651797	Q3198	P3553	19651797
electron	named after	amber	Q2225	P138	http://www.wikidata.org/entity/Q25381
electron	followed by	muon	Q2225	P156	http://www.wikidata.org/entity/Q3151
electron	location of discovery	Cavendish Laboratory Of Experimental Physics	Q2225	P189	http://www.wikidata.org/entity/Q26616677
electron	GND ID	4125978-6	Q2225	P227	4125978-6
electron	Library of Congress authority ID	sh85042423	Q2225	P244	sh85042423
electron	Bibliothèque nationale de France ID	13319069f	Q2225	P268	13319069f
electron	subclass of	elementary particle	Q2225	P279	http://www.wikidata.org/entity/Q43116
electron	subclass of	charged lepton	Q2225	P279	http://www.wikidata.org/entity/Q94535579
electron	NDL Authority ID	00561425	Q2225	P349	00561425
electron	Commons category	Electrons	Q2225	P373	Electrons
electron	opposite of	proton	Q2225	P461	http://www.wikidata.org/entity/Q2294
electron	opposite of	electron hole	Q2225	P461	http://www.wikidata.org/entity/Q651050
electron	MeSH descriptor ID	D004583	Q2225	P486	D004583
electron	BNCF Thesaurus ID	3791	Q2225	P508	3791
electron	interaction	gravity	Q2225	P517	http://www.wikidata.org/entity/Q11412
electron	interaction	weak interaction	Q2225	P517	http://www.wikidata.org/entity/Q11418
electron	interaction	electromagnetic interaction	Q2225	P517	http://www.wikidata.org/entity/Q849919
electron	time of discovery or invention	1897-01-01T00:00:00Z	Q2225	P575	1897-01-01T00:00:00Z
electron	Freebase ID	/m/02l7x	Q2225	P646	/m/02l7x
electron	KEGG ID	C05359	Q2225	P665	C05359
electron	MeSH tree code	G01.249.335	Q2225	P672	G01.249.335
electron	MeSH tree code	G01.358.500.750	Q2225	P672	G01.358.500.750
electron	ChEBI ID	10545	Q2225	P683	10545
electron	NL CR AUT ID	ph137952	Q2225	P691	ph137952
electron	topic's main category	Category:Electron	Q2225	P910	http://www.wikidata.org/entity/Q8411332
electron	Art & Architecture Thesaurus ID	300264243	Q2225	P1014	300264243
electron	Dewey Decimal Classification	539.72112	Q2225	P1036	539.72112
electron	PSH ID	3701	Q2225	P1051	3701
electron	g-factor	-2.00231930436256	Q2225	P1097	-2.00231930436256
electron	spin quantum number	0.5	Q2225	P1122	0.5
electron	parity quantum number	1	Q2225	P1123	1
electron	OmegaWiki Defined Meaning	567898	Q2225	P1245	567898
electron	described by source	Encyclopædia Britannica 11th edition	Q2225	P1343	http://www.wikidata.org/entity/Q867541
electron	described by source	Small Brockhaus and Efron Encyclopedic Dictionary	Q2225	P1343	http://www.wikidata.org/entity/Q19180675
electron	described by source	Meyers Konversations-Lexikon, 4th edition (1885–1890)	Q2225	P1343	http://www.wikidata.org/entity/Q19219752
electron	described by source	Small Soviet Encyclopedia	Q2225	P1343	http://www.wikidata.org/entity/Q66386517
